bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,clip_predictions
-5,5,0.0042797252946905505,0.030109000320597643,0.004,0.02814105882725794,0.01,0.07035264706814486,0.02,0.02,48.0,17.9,Ebelha,191,100,False
20,10,0.2291502620358726,0.13408488575237415,0.243,0.1296888272720203,0.5251071428571429,0.33726504746484215,2.43,1.91,48.0,17.9,Ebelha,191,100,False
18,10,0.22601029255065058,0.13364045579039924,0.24100000000000002,0.12878217456173227,0.5207619047619048,0.3397261691310243,2.41,1.9,48.0,17.9,Ebelha,191,100,False
17,10,0.22464451942818872,0.1319689540295826,0.242,0.12806248474865695,0.5124285714285715,0.3372375510048328,2.42,1.9,48.0,17.9,Ebelha,191,100,False
15,10,0.2218952030803057,0.130613417884938,0.23800000000000002,0.12454361128179602,0.5071944444444444,0.3338592687299133,2.38,1.9,48.0,17.9,Ebelha,191,100,False
13,10,0.21930111897521296,0.13055063635027842,0.24,0.12633129445864139,0.4967896825396825,0.32599742442230345,2.4,1.89,48.0,17.9,Ebelha,191,100,False
12,10,0.2156761669364472,0.12827911145210824,0.24100000000000002,0.12560560368378346,0.47725793650793646,0.31607466099085874,2.41,1.9,48.0,17.9,Ebelha,191,100,False
3,10,0.21207169612448598,0.12184675954404998,0.253,0.11930353445448852,0.4760436507936508,0.33988978923424157,2.53,2.0,48.0,17.9,Ebelha,191,100,False
10,10,0.20615003159388634,0.12260611129287001,0.233,0.11811225614010198,0.45025396825396824,0.3045436985638672,2.33,1.87,48.0,17.9,Ebelha,191,100,False
5,10,0.2035401829102566,0.11720903704082553,0.255,0.11923578203363165,0.4016468253968254,0.28640479138831587,2.55,1.96,48.0,17.9,Ebelha,191,100,False
9,10,0.2025935593648137,0.12022350788031161,0.23800000000000002,0.12042013993103519,0.41637698412698415,0.286718878689968,2.38,1.89,48.0,17.9,Ebelha,191,100,False
8,10,0.19955992100682945,0.1195983245741595,0.23900000000000002,0.12051656493711732,0.3954920634920635,0.269465488987552,2.39,1.9,48.0,17.9,Ebelha,191,100,False
7,10,0.19772526447410818,0.11823698739167829,0.23900000000000002,0.11882845627290635,0.39248015873015873,0.27118675261659625,2.39,1.89,48.0,17.9,Ebelha,191,100,False
6,10,0.1972061396600994,0.11474912293079748,0.244,0.11574964275530096,0.38828174603174603,0.27224236515426403,2.44,1.89,48.0,17.9,Ebelha,191,100,False
0,10,0.1311822951901669,0.09029758860738696,0.179,0.10944764903271281,0.2227222222222222,0.14288009564776444,1.79,1.46,48.0,17.9,Ebelha,191,100,False
-1,10,0.07113680273214108,0.08464597686768752,0.1,0.11191627462193568,0.13082539682539682,0.14427910368487376,1.0,0.77,48.0,17.9,Ebelha,191,100,False
-2,10,0.013459353388911365,0.05007247734555517,0.017,0.0667499479816693,0.03003968253968254,0.10749228200896777,0.17,0.11,48.0,17.9,Ebelha,191,100,False
-3,10,0.0056571685747946665,0.032406871328742586,0.008,0.046449712136629635,0.015,0.08572330399888266,0.08,0.03,48.0,17.9,Ebelha,191,100,False
-4,10,0.004764130333159361,0.027353822043379696,0.005,0.029729419500528157,0.015,0.08572330399888266,0.05,0.03,48.0,17.9,Ebelha,191,100,False
